2025-08-28 12:22:55 [INFO] Initializing Ollama connection manager...
2025-08-28 12:22:55 [WARNING] HostHealthMonitor initialized with empty host list
2025-08-28 12:22:55 [INFO] Setting up connections...
2025-08-28 12:22:55 [INFO] Multi-GPU configuration: 4 instances
2025-08-28 12:22:55 [INFO] Initialized with 4 hosts
2025-08-28 12:22:55 [INFO] Waiting for Ollama services to start...
2025-08-28 12:22:55 [INFO] Checking host 1/4: http://127.0.0.1:39001
2025-08-28 12:22:55 [INFO] Host http://127.0.0.1:39001 is ready
2025-08-28 12:22:55 [INFO] Checking host 2/4: http://127.0.0.1:39002
2025-08-28 12:22:55 [INFO] Host http://127.0.0.1:39002 is ready
2025-08-28 12:22:55 [INFO] Checking host 3/4: http://127.0.0.1:39003
2025-08-28 12:22:55 [INFO] Host http://127.0.0.1:39003 is ready
2025-08-28 12:22:55 [INFO] Checking host 4/4: http://127.0.0.1:39004
2025-08-28 12:22:55 [INFO] Host http://127.0.0.1:39004 is ready
2025-08-28 12:22:55 [INFO] All Ollama services are ready!
2025-08-28 12:22:55 [INFO] Found 12 files to process
2025-08-28 12:22:55 [INFO] Processing dati_2014.csv
2025-08-28 12:22:55 [INFO] Loading and preprocessing data...
2025-08-28 12:23:23 [INFO] Loaded 22 POIs from vc_site.csv
2025-08-28 12:23:36 [INFO] Loaded 370377 visits from dati_2014.csv
2025-08-28 12:23:36 [INFO] Valid visits after merge: 370377
2025-08-28 12:23:37 [INFO] Multi-visit cards: 70236 / 71557
2025-08-28 12:23:37 [INFO] Performing user clustering...
2025-08-28 12:23:56 [INFO] Processing 65892 cards
2025-08-28 12:23:56 [INFO] Using 8 workers for 4 healthy hosts
2025-08-28 12:23:56 [INFO] Waiting 120s for models to FULLY stabilize...
2025-08-28 12:25:56 [INFO] Running pre-flight check on all hosts...
2025-08-28 12:25:56 [INFO] ✅ Pre-flight check passed for http://127.0.0.1:39001
2025-08-28 12:25:56 [INFO] ✅ Pre-flight check passed for http://127.0.0.1:39002
2025-08-28 12:25:57 [INFO] ✅ Pre-flight check passed for http://127.0.0.1:39003
2025-08-28 12:25:57 [INFO] ✅ Pre-flight check passed for http://127.0.0.1:39004
2025-08-28 12:26:23 [WARNING] Invalid JSON response for 040072523F3881
2025-08-28 12:26:56 [WARNING] Invalid JSON response for 040307523F3885
2025-08-28 12:27:02 [WARNING] Invalid JSON response for 0403B3523F3881
2025-08-28 12:27:06 [WARNING] Invalid JSON response for 0403E4523F3881
2025-08-28 12:27:55 [WARNING] Invalid JSON response for 04305A523F3880
